direcao,nota_media
David F. Friedman,4.0
David F. Morgan,4.8
David F. Sandberg,6.4
David F. Wheeler,5.9
David Fincher,7.625
David Fisher,5.8
David Frankel,6.3999999999999995
David Friedkin,6.55
David Frost,5.3
David G. Evans,6.1
David G. Simmons,3.9
"David Gaz, Annelie Wilder",4.2
David Gebroe,4.6
David Gelb,5.2
David Giancola,3.8333333333333335
David Gidali,3.4
David Giler,5.6
David Goldsmith,4.6
David Gordon Green,6.527272727272727
David Green,4.8
David Greene,6.333333333333333
David Greenspan,5.0
David Greenwalt,6.6
"David Greenwalt, Aaron Russo",4.7
David Gregory,4.5
David Grotell,4.5
David Guy Levy,5.7
David H. May,4.3
David H. Steinberg,6.1
David Hackl,5.2
David Hartford,5.7
David Hartman,5.0
David Hartwell,4.9
David Heavener,3.242857142857143
"David Heavener, Phillip J. Roth",4.1
David Heinz,6.2
David Helpern,4.7
David Hemmings,7.9
David Hess,4.7
David Hickey,6.3
"David Hillenbrand, Scott Hillenbrand",3.733333333333333
David Hogan,4.449999999999999
David Horn,7.4
David Howard,5.875
"David Howard, Armand Schaefer",4.449999999999999
"David Howard, Joseph Kane",6.1
David Huey,3.65
David Hugh Jones,6.0
David I. Frazer,3.4
"David Ian McKendry, Rebekah McKendry",4.9
David Irving,5.15
David Izatt,3.8
David J. Espinosa,5.0
David J. Hohl,2.5
David Jackson,5.1
David Jacobson,5.233333333333333
David Jamison,5.5
David Jay Willis,5.3
David Jung,5.7
David Kaplan,6.449999999999999
"David Kebo, Rudi Liden",5.6
David Kellogg,3.5
David Kendall,5.8
David Kirkland,4.9
David Kittredge,4.7
David Klass,6.9
David Koepp,6.45
"David Kramarsky, Roger Corman",3.7
David Kronmiller,4.7
David L. Cunningham,5.4
David L. Hewitt,3.34
David L. Hunt,6.25
David LaRosa,4.966666666666666
"David LaRosa, Brian Robbinson",4.5
David Labrava,5.8
David Langlitz,6.2
David Lascher,6.7
David Lee Fisher,5.8
David Lee Madison,2.1
David Lee Miller,7.1
David Leeds,4.8
David Leitch,7.7
David Leo Schultz,6.8
David Lewis,4.866666666666667
David Lisle Johnson,4.9
David Lister,4.0
David Llauger Meiselman,4.65
David Lowell Rich,5.4125
David Lowery,6.325
David Lynch,7.433333333333334
David M. Matthews,3.4
David M. Rosenthal,5.266666666666667
David Mackay,6.833333333333333
David Mackenzie,6.699999999999999
David Madden,5.0
David Maga,2.6
David Mahmoudieh,5.2
David Mamet,7.0200000000000005
David Maquiling,6.1
David Markey,6.1
David Marmor,5.8
David Matalon,4.1
David Matthew Weese,5.8
David McCormick,4.2
David McCracken,4.8
"David McCracken, Joel Townsend",4.0
David McElroy,4.0
David McNally,5.7
David Michael Conley,6.0
David Michael Latt,3.5
David Michael O'Neill,5.0
David Michael Quiroz Jr.,4.05
David Michôd,6.0
David Mickey Evans,6.25
David Miller,6.341176470588235
"David Miller, Frank Borzage",5.6
David Mirkin,6.2
David Mitchell,5.5
David Moreton,6.7
"David Morwick, Michael Civille",4.6
David Moscow,4.9
David Mueller,5.1
David Mun,6.5
David Munro,4.9
David Murphy,2.95
"David Murphy, Scott Peck",4.1
David N. Donihue,7.4
David Nahmod,6.2
David Nelson,4.550000000000001
"David Nixon, Patrick Doughtie",6.3
David Nutter,6.5
David O'Malley,4.966666666666667
David O. Russell,7.016666666666667
David Odell,2.9
David Ogden,5.4
David Oliver Pfeil,3.7
David Oliveras,6.4
David Ondaatje,5.7
David Ostry,4.9
David Palamaro,5.5
"David Palmer, Dax Shepard",5.3
David Palmieri,1.6333333333333335
"David Pastor, Àlex Pastor",6.0
"David Paulsen, John Mason Kirby",4.5
David Pomes,6.7
David Portlock,5.6
David Presley,3.3
David Price,3.7
David R. Bowen,5.6
David R. Brooks,5.2
David R. Ellis,4.825
David R. Higgins,5.2
"David R. Williams, Mike Bohatch",2.4
David Raynr,5.1
David Ren,4.8
David Riker,6.9
David Robert Mitchell,6.533333333333334
David Rodriguez,5.133333333333333
David Ross,5.6
David Rountree,4.6
David Russo,6.2
David S. Goyer,5.533333333333334
David S. Ward,6.25
David Sabbath,4.2
David Salle,5.4
David Saperstein,5.7
David Schmoeller,4.88
David Schwimmer,6.9
David Selman,6.7
David Seltzer,6.366666666666667
David Semel,6.1
David Sheldon,4.9
David Silverman,7.3
David Silvio,1.8
David Singer,5.5
David Slade,6.05
David Soren,6.4
David Spaltro,4.2
David Steinberg,4.8
David Stephens,5.5
David Stern,3.7
David Stevens,5.5
David Stuart Snell,5.4
David Swift,6.771428571428571
David Tausik,4.5
David Tittone,4.1
David Towner,7.8
David Trotti,4.3
David Twohy,6.566666666666666
David Tybor,3.8
David Veloz,6.3
David Von Ancken,6.7
David VonAllmen,4.8
David W. Edwards,2.8
David W. Warfield,4.0
David Wain,6.125
David Waingarten,4.4
David Wall,4.95
David Wechter,4.9
David Winkler,6.4
David Winning,6.2
David Winters,4.983333333333333
David Worth,4.5
"David Worth, Richard Robinson",5.6
David Yarovesky,5.65
David Zellner,6.033333333333334
"David Zellner, Nathan Zellner",5.6
David Zucker,5.816666666666666
David de Vos,5.5
Davidson Cole,6.2
Davis Doi,4.85
Davis Guggenheim,6.0
Dax Shepard,6.0
DeAara L. Lewis,6.9
"DeMane Davis, Khari Streeter",6.2
DeShon Hardy,2.5
Deagol Brothers,4.6
Dean Alioto,3.8
Dean Crow,4.2
Dean DeBlois,7.8
"Dean DeBlois, Chris Sanders",7.65
Dean Devlin,5.85
Dean Gates,4.8
Dean Gold,3.9
Dean Hamilton,4.65
Dean Hargrove,5.8
Dean Howell,5.3
Dean Israelite,6.4
Dean Jones,3.1
"Dean Jones, Dean Jones",4.2
Dean Matthew Ronalds,4.975
Dean McKendrick,3.0666666666666664
Dean Paraskevopoulos,4.2
Dean Parisot,6.2
Dean Raphael Ferrandini,4.7
Dean Riesner,5.6
Dean Semler,4.45
"Dean Stockwell, Neil Young",5.9
Dean Tschetter,4.8
Dean Whitney,3.2
Dean Yurke,4.0
"Deanna Shapiro, Julie St. Claire",6.0
Deb Hagan,4.6
Deb Shoval,5.5
Debbie Allen,4.4
Debbie Goodstein,5.0
Debbie Rochon,3.6
Deborah Brock,4.5
Deborah Del Prete,4.8
Deborah Kampmeier,4.824999999999999
Deborah Reinisch,6.8
Deborah Sahagun,3.6
Debra Eisenstadt,5.15
Debra Granik,6.95
Debra Kirschner,5.4
Declan Mulvey,3.2
Dee McLachlan,4.5
Dee Rees,6.3
Del Lord,5.85
Del Shores,6.233333333333333
Del Tenney,4.0
"Deland Nuse, Jack A. Sunseri",3.8
Delavega,5.0
Delbert Mann,6.8500000000000005
Delila Vallot,4.2
Delmer Daves,6.770833333333333
"Delmer Daves, Karl Malden",7.1
"Delmer Daves, Otto Preminger",6.2
Demetri Martin,6.2
Demetrius Navarro,3.9333333333333336
Demian Lichtenstein,5.066666666666666
Dena Hysell-Cornejo,4.1
Denis Henry Hennelly,6.3
Denis Sanders,6.0600000000000005
Denis Villeneuve,8.1
Denise Coates,3.9
Denise Di Novi,5.1
Dennie Gordon,5.5
Dennis Brooks,7.6
Dennis Cooper,4.5
Dennis Devine,2.6571428571428575
"Dennis Devine, Eugene James",3.3
Dennis Dimster,4.85
Dennis Donnelly,5.3
Dennis Dortch,4.8
Dennis Dugan,5.776923076923077
Dennis Fallon,5.8
Dennis Feldman,6.2
Dennis Hauck,6.7
Dennis Ho,4.3
Dennis Hopper,6.25
Dennis Iliadis,5.6
Dennis Kane,4.7
Dennis Klein,5.9
Dennis L. Reed II,4.7
Dennis Lee,6.45
Dennis Smithers Jr.,4.2
Dennis Steinmetz,4.7
Denny Harris,5.9
Denzel Washington,7.4
Deon Taylor,5.042857142857143
Deran Sarafian,5.2
Dereck Joubert,5.1
Derek Ahonen,9.2
Derek Cianfrance,7.35
Derek Cole,4.3
Derek Estlin Purvis,4.1
Derek Hockenbrough,3.4
Derek Lee Nixon,2.8
Derek Lindeman,5.5
Derek Magyar,5.4
Derek Mungor,4.3
Derek Osedach,3.0
Derek Owen,6.8
Derek Presley,2.4
Derek Savage,3.5
Derek Scott,6.1
Derek Sieg,6.0
Derek Talib,4.0
Derek Wan,4.0
Derick Martini,5.666666666666667
Dermot Mulroney,4.9
Deronte Smith,7.8
Derrick Borte,6.15
Derrick Granado,2.9
Derrick Simmons,5.599999999999999
Derrick Sims,4.8
Derwin Abrahams,6.675
"Deryck Broom, Roger Hawkins",3.4
Deryn Warren,3.7999999999999994
Desmond Devenish,4.4
Desmond Hall,6.7
Desmond Nakano,6.6
Destin Daniel Cretton,7.324999999999999
Devin Adair,5.8
Devin Crittenden,5.0
Devin Hamilton,4.3
Devin Lawrence,5.0
"Devin McGinn, Steve Berg",5.1
"Devon Downs, Kenny Gage",4.6
Devon Gummersall,5.300000000000001
Devon Mikolas,4.2
Devon Parks,4.4
Devyn Waitt,6.0
Dia Sokol Savage,4.3
Diablo Cody,5.0
Diana Angelson,8.0
Diana Lee Inosanto,6.6
Diane Bell,6.0
Diane Crespo,5.9
"Diane Crespo, Stefan C. Schaefer",7.3
"Diane Doniol-Valcroze, Arthur K. Flam",5.7
Diane English,5.0
"Diane Garey, Lawrence Hott",7.2
Diane Keaton,6.7
Diane Ladd,5.1
"Dianna Collett, Paul Collett",7.0
Dianne Dreyer,5.5
Dick Lowry,3.6
Dick Powell,6.1
Dick Richards,6.3
"Dick Richards, Jerry Jameson",5.6
Diederik Van Rooijen,5.2
Diego Hallivis,4.8
"Diego Hallivis, Razor Rocco Rizzotti",4.6
Dietrich Johnston,3.3
Dimitri Logothetis,4.38
Dionysius Zervos,3.4
Director X.,5.1
Dirk Benedict,5.9
Dirk Hagen,3.6
Dirk Shafer,5.7
Dito Montiel,5.6499999999999995
Dmitry Yun,3.2
Doc Duhame,4.1
Dolly Wells,5.4
Dolph Lundgren,5.35
Dom DeLuise,6.6
Dom Frank,2.8
Dome Karukoski,6.8
"Domenic Barbero, Jerry Spears",7.3
Dominic Orlando,5.1
Dominic Perez,4.2
Dominic Sena,6.275
Dominick Brascia,5.1
Dominik Hauser,3.3
Dominique Othenin-Girard,4.6
Dominique Wirtschafter,4.8
Domiziano Cristopharo,3.3
Domonic Paris,3.85
Don 'Red' Barry,4.5
Don Abernathy,3.7
"Don Appell, Louis Brandt",5.8
"Don Argott, Sheena M. Joyce",5.8
"Don Barton, Arnold Stevens",2.5
"Don Bitters III, Geoff Reisner",4.2
Don Bluth,7.25
"Don Bluth, Gary Goldman",6.9
Don Boyd,5.2
"Don Caron, Lyle Hatcher",6.7
Don Chaffey,5.966666666666666
"Don Chaffey, Don Bluth",6.4
Don Cheadle,6.4
Don Coscarelli,6.475
Don Dohler,4.275
"Don Dohler, Dave Geatty",4.1
Don E. FauntLeRoy,4.4
Don Edmonds,4.75
Don Gronquist,5.1
"Don Hall, Chris Williams",7.8
Don Handfield,6.5
Don Hartman,6.1
"Don Hartman, Rudolph Maté",6.6
Don Henderson,3.9333333333333336
Don Henry,3.4
Don Hertzfeldt,8.3
Don Hulette,4.3
Don Jones,4.3
"Don Jones, Mikel Angel",5.9
Don Joslyn,4.1
Don Keeslar,3.0
"Don Lusk, Ray Patterson",5.8
Don Mancini,5.2
Don McDougall,6.5
Don McGuire,6.2
Don Medford,6.05
Don Michael Paul,3.88
Don Most,5.65
Don Murray,6.1
Don Nardo,3.2
Don Roos,6.15
Don Roy King,6.449999999999999
Don Scardino,5.766666666666667
Don Schain,4.8
Don Siegel,6.78
"Don Siegel, Peter R. Hunt",5.6
"Don Siegel, Robert Totten",6.2
Don Swan,2.5
Don Taylor,6.0
"Don Taylor, Phil Karlson",5.9
Don Thacker,5.6
Don Tjernagel,7.975
"Don Tjernagel, Don Tjernagel",5.9
Don Weis,5.866666666666666
Donal Lardner Ward,4.3
Donald A. Davis,5.3
Donald Cammell,6.3
Donald Crisp,6.1
"Donald Crisp, Buster Keaton",7.7
Donald F. Glut,4.433333333333334
Donald Farmer,2.42
"Donald Farmer, Caroline Kopko",2.8
Donald G. Jackson,2.7399999999999998
"Donald G. Jackson, Jerry Younkins",3.3
"Donald G. Jackson, R.J. Kizer",5.5
"Donald G. Jackson, Scott Shaw",1.8
Donald L. Gold,4.1
"Donald Lawrence Flaherty, Colin Follenweider",2.7
Donald Leow,6.2
Donald M. Jones,4.6
Donald P. Borchers,4.9
Donald Petrie,5.8375
Donald W. Thompson,4.85
Donald Wolfe,5.6
Donald Wrye,6.199999999999999
"Dong-Wook Lee, Tommy Yune",6.5
Donn Davison,2.8
Donn Greer,3.7
Donn Harling,4.8
Donn Kennedy,3.1
Donna Deitch,5.85
Donna Robinson,5.6
Donna Wheeler,1.6
"Doo-yong Lee, Scott Thomas",5.0
Dore Schary,6.1
Dorian Walker,5.949999999999999
Dorian Weinzimmer,5.6
Dorie Barton,6.3
Doris Wishman,4.316666666666667
Dorothy Ann Puzo,4.6
Dorothy Arzner,6.488888888888889
"Dorothy Arzner, George Fitzmaurice",5.9
"Dorothy Arzner, Otto Brower",5.9
"Dorothy Arzner, Roy Del Ruth",6.7
Dorothy Davenport,5.6
"Dorothy Davenport, Melville Shyer",4.75
"Dorrell McGowan, Stuart E. McGowan",6.2
Doug Archibald,4.2
Doug Atchison,6.199999999999999
Doug Bilitch,5.4
Doug Bollinger,4.8
"Doug Bollinger, Bx Giongrete",5.1
Doug Burch,3.5
Doug Campbell,5.025
Doug Dearth,5.8
Doug Ellin,5.3999999999999995
Doug Finelli,5.2
"Doug Gerber, Caleb Pennypacker",4.2
Doug Hoffman,3.2
Doug Karr,5.9
Doug Liman,6.540000000000001
Doug Lodato,4.6
Doug Maguire,2.5
Doug McHenry,6.6
Doug McKeon,6.35
Doug Miles,4.1
Doug Penikas,4.6
Doug Robertson,5.1
Doug Roos,6.5
Doug Sadler,6.3
Doug Spearman,5.75
Doug Witkins,4.4
Douglas A. Raine,3.6
Douglas Aarniokoski,4.5
Douglas B. Maddox,4.3
Douglas Barr,5.2
Douglas Cheek,5.6
Douglas Cheney,4.9
Douglas Curtis,5.15
Douglas Day Stewart,5.55
Douglas Elford-Argent,3.05
Douglas Grossman,5.0
Douglas Heyes,5.5
Douglas Horn,5.050000000000001
Douglas Jackson,3.8
Douglas James Vail,4.7
Douglas K. Grimm,1.9
Douglas Langway,5.8
Douglas McGrath,5.95
Douglas McKeown,6.0
Douglas Myers,2.5
Douglas Rath,5.7
Douglas S. Younglove,3.6
Douglas Schulze,3.78
Douglas Schwartz,6.0
Douglas Sirk,6.7444444444444445
Douglas Tirola,5.8
Douglas Trumbull,6.6
Doveed Linder,3.4
Dover Koshashvili,6.8
Dpyx,4.9
Drake Doremus,6.26
Drew Ann Rosenberg,4.833333333333333
Drew Barnhardt,4.449999999999999
Drew Barrymore,6.9
"Drew Bell, Jefferson Keith Langley",4.3
Drew Bolduc,4.1
"Drew Bolduc, Dan Nelson",5.3
Drew Bolton,3.1
"Drew Daywalt, David Schneider",6.3
Drew Denbaum,5.9
Drew Gabreski,4.8
Drew Goddard,7.05
Drew Hall,3.4
Drew Johnson,5.7
Drew Marvick,4.4
Drew Maxwell,2.75
Drew Morris,3.1
Drew Mylrea,4.5
Drew Rosas,5.5
"Drew Rosas, Nick Sommer",5.4
Drew Thomas,4.9
Drew Tobia,6.5
Drew Waters,6.0
Dror Soref,4.8
Duane Clark,5.0
"Duane Graves, Justin Meeks",4.166666666666667
Duane Journey,4.3
Duane McCoy,4.0
Dudley Murphy,5.966666666666666
"Dudley Murphy, William C. de Mille",6.4
Dudley Nichols,6.466666666666666
Duke Mitchell,6.300000000000001
"Duncan Coe, Elena Weinberg",3.3
Duncan Gibbins,4.9
Duncan Pace,2.2
Duncan Roy,4.8
Duncan Skiles,6.5
Duncan Tucker,7.4
Durrell Nelson,4.5
Dusan Makavejev,6.2
Dustin Cook,5.3
Dustin Dugas Schuetter,4.05
Dustin Fairbanks,4.9
Dustin Ferguson,4.5
"Dustin Ferguson, Henrique Couto",1.6
"Dustin Ferguson, Mike Johnson",2.1
Dustin Guy Defa,5.7
Dustin J. Robison,5.0
Dustin Lance Black,5.800000000000001
Dustin Marcellino,5.2
Dustin Mckenzie,6.9
Dustin Mills,4.279999999999999
Dustin Rikert,4.15
Dustin Voigt,3.6
Dusty Bias,5.6
Dusty DePree,3.7
Dusty Nelson,4.2
Dusty Saunders,6.5
Duwayne Dunham,6.65
Dwain Esper,3.466666666666667
"Dwain Esper, Vival Sodar't",4.1
Dwayne Buckle,4.1
Dwayne Johnson-Cochran,5.2
Dwight H. Little,5.457142857142857
Dwight White,8.4
Dwight Yoakam,4.2
Dyan Cannon,5.5
Dylan Anthony Moran,5.9
Dylan Baker,6.5
Dylan Bank,4.9
Dylan C. Brown,4.550000000000001
Dylan Greenberg,1.9
Dylan K. Narang,4.1
Dylan Kidd,6.1000000000000005
Dylan Reynolds,3.5
Dylan Thomas Ellis,4.3
Dylan Vox,5.1
E. Darrell Hallenbeck,5.7
E. Elias Merhige,5.8
E. Mason Hopper,5.833333333333333
E. Max Frye,5.7
E. Paul Edwards,4.6
E.B. Hughes,6.75
E.E. Cassidy,4.3
E.J. De la Pena,4.9
E.L. Katz,6.7
E.R. Nelson,5.6
E.W. Swackhamer,5.7
Eagle Pennell,6.85
Eamon Hardiman,4.4
Earl Barton,4.5
Earl Bellamy,5.916666666666667
Earl E. Smith,5.6
Earl McEvoy,6.4
Eb Lottimer,5.3
Eben McGarr,5.15
"Eber Lobato, Howard Veit",4.8
Ed Adlum,3.6
Ed Anders,3.6
Ed Bianchi,5.6
Ed De Priest,3.1
Ed Decter,5.9
"Ed Fitzgerald, Paul Koval",4.3
Ed Forsyth,4.333333333333333
"Ed Friedman, Lou Kachivas",6.2
Ed Hansen,4.95
"Ed Hansen, Jeffrey Mandel",2.3
Ed Harris,6.85
Ed Hunt,5.8
Ed Radtke,6.7
Ed Ragozzino,5.3
Eddie Alcazar,4.0
"Eddie Beverly Jr., Tommy Blaze",3.4
Eddie Davis,5.5
"Eddie Dew, Paul Landres",6.8
Eddie Lebron,3.8
Eddie Lengyel,2.775
Eddie Mensore,7.0
Eddie Mullins,6.7
Eddie Murphy,6.1
Eddie O'Flaherty,5.95
Eddie O'Keefe,5.1
Eddie Roman,3.9
Eddie Romero,5.8
Eddie Saeta,5.5
Eddy Duran,2.7
Edgar G. Ulmer,5.905263157894737
"Edgar G. Ulmer, Douglas Sirk",6.7
Edgar Lewis,6.1
Edgar Michael Bravo,4.8
Edgar Selwyn,6.242857142857143
"Edgar Selwyn, Richard Boleslawski",6.9
Edmond O'Brien,6.0
"Edmund Entin, Gary Entin",5.4
Edmund Goulding,6.56
"Edmund Goulding, Cedric Hardwicke",7.0
"Edmund Goulding, John Gilbert",6.9
"Edna Luise Biesold, Sarah-Violet Bliss",4.3
Edo Bertoglio,7.1
Edoardo Ponti,5.3
Edreace Purmul,4.5
Edson Oda,7.5
Eduardo Carrillo,5.4
Eduardo Castrillo,3.65
Eduardo Montes-Bradley,4.3
"Eduardo Quiroz, Jose Quiroz",3.8
Eduardo Rodriguez,4.6000000000000005
Eduardo Sánchez,5.175
Edward A. Blatt,6.433333333333334
Edward A. Kull,4.5
"Edward A. Kull, Wilbur McGaugh",5.15
Edward Anderson,5.7
Edward Barbini,3.5
Edward Bernds,6.0375000000000005
Edward Burns,6.15
Edward Buzzell,6.478947368421053
"Edward Buzzell, Buster Keaton",6.2
"Edward Buzzell, Norman Taurog",6.3
"Edward Buzzell, Richard Rosson",6.1
Edward D. Venturini,6.0
Edward D. Wood Jr.,3.7285714285714286
Edward Dein,5.633333333333333
Edward Dmytryk,6.5
"Edward Dmytryk, Irving Reis",6.4
Edward Douglas,3.4
Edward Drake,5.3
Edward F. Cline,6.257894736842106
"Edward F. Cline, Buster Keaton",7.1
Edward Finney,3.6
Edward G. Negron,5.1
Edward Gorsuch,3.6
Edward H. Griffith,6.2153846153846155
"Edward H. Griffith, George Cukor",6.2
Edward Hightower,3.1
Edward Holzman,4.5625
Edward J. Fasulo,2.0
Edward James Olmos,7.2
Edward Kaye,4.2
Edward Killy,5.9875
Edward L. Cahn,5.430555555555555
Edward L. Montoro,4.5
Edward L. Plumb,4.5
Edward Ludwig,6.2700000000000005
Edward Martin III,5.8
Edward Montagne,6.175
Edward Norton,6.55
Edward Payson,4.9
Edward Pionke,4.8
Edward Sedgwick,5.819999999999999
"Edward Sedgwick, Buster Keaton",7.55
"Edward Sedgwick, S. Sylvan Simon",6.7
Edward Sloman,5.933333333333334
Edward T. McDougal,4.15
Edward Vilga,5.0
Edward Zwick,6.890000000000001
Edwin Brown,4.25
Edwin Carewe,6.6
Edwin H. Knopf,6.6
Edwin J. Burke,6.1
Edwin L. Marin,6.214285714285714
"Edwin L. Marin, J. Walter Ruben",6.4
Edwin L. Marshall,4.2
Edwin S. Porter,6.1
Edwin Sherin,6.8
"Efram Potelle, Kyle Rankin",6.0
Ela Thier,6.8
Elaine Chu,2.9
Elaine May,6.525
Eldar Rapaport,6.2
Eleanor Bergstein,5.6
Eleanor Gaver,4.4
Elgin Cahill,2.9
Elgin James,6.1
"Eli B. Despres, Kim Roberts",5.4
Eli Cohen,4.7
Eli Craig,5.7
Eli Dorsey,2.0
Eli Hollander,2.5
Eli Roth,5.7
Elia Kazan,7.376470588235295
"Elia Kazan, John Ford",7.2
Elia Petridis,6.1
Elias,3.5
Elias Matar,4.8
Elijah Bynum,6.4
Elisabeth Fies,4.7
Elisabeth Subrin,5.4
Elise Duran,5.3
Elise Robertson,4.5
Elissa Down,5.8
Eliza Hittman,6.0
Elizabeth Allen Rosenbaum,5.9
Elizabeth Banks,6.4
"Elizabeth Banks, Steven Brill",4.3
Elizabeth Blake-Thomas,6.466666666666666
Elizabeth Chomko,6.6
Elizabeth Harrison,5.6
Elizabeth Lucas,3.3
Elizabeth Wood,5.7
Elle Callahan,5.4
"Ellen Seidler, Megan Siler",4.0
Ellie Kanner,5.333333333333333
Elliot Diviney,4.8
Elliot Feld,3.7
Elliot Greenebaum,6.6
Elliot M. Bour,5.5
Elliot Silverstein,5.4399999999999995
Elliott Hong,5.7
Elliott Lester,5.666666666666667
Elliott Nugent,6.478260869565218
"Elliott Nugent, Charles Reisner",6.5
Ellory Elkayem,5.4
"Elly Kenner, Norman Thaddeus Vane",4.9
Elmer Clifton,5.0
"Elmer Clifton, Ida Lupino",6.9
"Elmer Clifton, John English",5.5
"Eloyce Gist, James Gist",5.1
Elsa Garagarza,4.9
Emanuele Della Valle,4.3
Emil Hyde,4.4
Emile Ardolino,6.24
Emile Edwin Smith,3.45
Emiliano Galigani,5.4
Emilie Peters,7.2
Emilio Estevez,6.4799999999999995
Emily Abt,5.2
Emily Cohn,5.4
Emily Dell,3.9
Emily Hagins,5.35
Emily Hubley,5.4
Emily Lou Wilbur,6.1
Emily Skopov,5.3
Emily Young,6.4
Emma Forrest,5.1
Emma Tammi,5.5
"Emmanuel Adjei, Ibra Ake",5.4
Emmanuel Itier,2.45
Emmanuel Sandoval,4.2
Emmett Alston,3.85
Emmett Callinan,3.7
Emmett J. Flynn,6.7
Emory Johnson,5.3
Enid Zentelis,5.25
Eric Allen Bell,8.2
Eric Amadio,5.3
Eric Balfour,5.4
Eric Bilitch,5.65
Eric Blakeney,5.7
Eric Blue,5.6
Eric Brevig,5.8
Eric Bross,5.38
Eric Byler,5.6
Eric Chambers,4.2
Eric Champnella,5.4
Eric Colley,4.5
"Eric Darnell, Simon J. Smith",6.7
"Eric Darnell, Tim Johnson",6.5
"Eric Darnell, Tom McGrath",6.766666666666667
Eric DelaBarre,3.5333333333333337
Eric Demeusy,5.7
Eric Drilling,6.0
Eric Eason,6.7
"Eric Eisner, Julian Max Metter",4.0
Eric England,4.64
"Eric England, Nick Everhart",5.0
Eric Espejo,3.3
Eric Etebari,3.9
Eric Fleming,5.3
Eric Ford Holevinski,3.6
Eric Forsberg,3.033333333333333
Eric Fournier,6.8
Eric G. Johnson,4.0
Eric Gibson,4.38
Eric H. Sheffield,4.3
Eric Hannah,6.0
Eric Hayden,5.3
Eric Haywood,5.2
Eric Heisserer,6.4
Eric Hendershot,5.642857142857143
Eric Hueber,5.7
Eric Hurt,5.2
"Eric Jacobus, Chelsea Steffensen",6.1
Eric Karson,4.875
Eric Kissack,6.3
"Eric Larsen, Eric Louzil",3.5
Eric Lea,5.4
"Eric Leighton, Ralph Zondag",6.5
Eric Leiser,3.4
Eric Liberacki,3.0
Eric Louzil,4.04
Eric Mandelbaum,4.7
Eric Mendelsohn,5.95
Eric Meza,5.45
Eric Morgret,5.0
Eric Moyer,4.1
Eric Mueller,5.5
Eric Nicholas,6.0
Eric Notarnicola,6.5
"Eric Parkinson, Matt Reeves",4.1
"Eric Parkinson, Michael Rissi",4.6
"Eric Paul Erickson, Jon Kondelik",2.1
Eric Pennycoff,4.3
Eric Pham,3.2
Eric Priestley,5.3
Eric Red,5.833333333333333
Eric Santamaria,7.4
"Eric Sayers, Larry Buchanan",4.3
Eric Schaeffer,6.133333333333333
"Eric Schaeffer, Donal Lardner Ward",5.1
Eric Schwab,5.1
Eric Shapiro,5.0
Eric Sherman,5.1
Eric Small,4.35
Eric Stanze,4.466666666666666
Eric Steel,6.8
Eric Steven Stahl,6.033333333333334
Eric Stoltz,6.25
Eric Weber,5.05
"Eric Weber, Sean Devaney",6.0
Eric Welch,5.7
Eric Werthman,4.8
Eric Weston,5.05
Eric Williford,3.6
Eric Worthington,2.1
Eric Zimmerman,4.1
Erica Dunton,6.1
Erica Fae,5.8
Erica Fox,4.4
Erich von Stroheim,7.38
"Erich von Stroheim, Richard Boleslawski",7.1
Erick Ifergan,6.3
Ericson Core,7.55
Erik Bloomquist,5.1
Erik Charell,6.2
Erik Fleming,3.85
"Erik Gardner, Andrew Kasch",5.1
Erik Greenberg Anjou,4.8
Erik Kristopher Myers,5.199999999999999
Erik Peter Carlson,5.666666666666667
Erik Reese,5.3
Erik S. Weigel,5.8
Erik Sharkey,2.5
Erik White,4.65
Erika Dapkewicz,3.6
Erin Dignam,4.949999999999999
Erin Greenwell,5.1
Eriq La Salle,6.0
Erle C. Kenton,6.46
Ernest B. Schoedsack,6.279999999999999
"Ernest B. Schoedsack, Merian C. Cooper",6.4
Ernest Day,5.8
Ernest Farino,4.9
Ernest G. Sauer,3.675
Ernest Lehman,5.3
Ernest Pintoff,5.58
Ernest R. Dickerson,6.05
Ernest Thompson,5.8
"Ernesto Foronda, Silas Howard",5.7
Ernie Barbarash,5.925
Ernst Lubitsch,7.373684210526315
"Ernst Lubitsch, John M. Stahl",7.6
"Ernst Lubitsch, Otto Preminger",6.0
"Ernst Lubitsch, Raoul Walsh",6.5
Errol Morris,5.5
Errol Taggart,6.0
Ersen Denk,4.0
Eryc Tramonn,5.8
"Eshom Nelms, Ian Nelms",6.233333333333333
Estes Tarver,5.9
Estlin Feigley,4.9
Etan Cohen,6.0
"Ethan Coen, Joel Coen",7.033333333333334
Ethan Hawke,5.966666666666666
Ethan Hunter,3.4
"Ethan Kogan, Jessica Silvetti",7.1
"Ethan Maniquis, Robert Rodriguez",6.6
Ethan Spaulding,7.5
Ethan Warren,5.3
Ethan Wiley,4.45
"Etta Devine, Gabriel Diani",6.5
Eugene Baldovino,3.7
Eugene Brady,6.3
Eugene Corr,6.7
Eugene Forde,6.553846153846154
"Eugene Forde, George Hadden",6.4
Eugene Frenke,4.7
"Eugene Frenke, James P. Hogan",3.9
Eugene Jarecki,6.3
Eugene Kotlyarenko,5.7
Eugene Marner,6.4
Eugene Martin,5.5
Eugène Lourié,6.300000000000001
Euzhan Palcy,7.0
Eva Vives,6.0
Evan Buxbaum,6.2
Evan Cecil,4.6
Evan Cholfin,4.6
Evan Crooke,4.4
Evan Dunsky,5.0
Evan Glodell,6.4
