direcao,nota_media
Alan Gibson,4.8
Alan Hale,7.0
Alan Holleb,4.5
Alan Hruska,5.3
Alan J. Levi,4.9
Alan J. Pakula,6.453333333333333
Alan Jacobs,5.925
Alan James,5.466666666666666
"Alan James, Ray Taylor",6.65
"Alan James, William Witney",6.0
Alan Johnson,5.85
Alan Kirschen,4.4
Alan Le May,5.4
Alan Madison,5.2
Alan Mehrez,2.3
"Alan Mehrez, Barry Samson",4.5
"Alan Mehrez, Philip Tan",4.8
Alan Metter,5.625
Alan Myerson,5.1000000000000005
Alan Pao,4.15
Alan Parker,6.785714285714286
"Alan Polsky, Gabe Polsky",5.9
Alan Poul,5.4
Alan R. Howard,4.9
Alan Rafkin,6.333333333333333
Alan Roberts,3.8166666666666664
Alan Rowe Kelly,6.0
Alan Rudolph,5.761111111111111
Alan Shapiro,5.6
Alan Spencer,5.6
Alan Stewart,3.75
Alan Swyer,4.6
Alan Taylor,6.166666666666667
Alan Wade,5.2
Alan White,5.5
Alan Yang,6.4
Alana Morshead,3.6
Alastair Orr,4.7
Albert Alarr,6.4
"Albert Austin, Victor Heerman",6.2
Albert Band,4.975
"Albert Band, Charles Band",5.05
Albert Brooks,6.533333333333334
Albert C. Gannaway,5.800000000000001
"Albert C. Gannaway, Ismael Rodríguez",4.7
Albert H. Kelley,4.9
Albert Herman,4.7
"Albert Hughes, Allen Hughes",7.1000000000000005
Albert Lewin,6.6
Albert Lipton,5.6
Albert Magnoli,5.05
Albert Parker,5.88
Albert Pyun,4.5
"Albert Pyun, Howie Askins",3.7
"Albert Pyun, Isaac Florentine",3.6
Albert Ray,5.55
Albert S. Rogell,5.90625
Albert T. Viola,4.7
Albert Zugsmith,4.7
Alberto Vidaurri,4.4
Alec Baldwin,5.5
Alec Gillis,4.5
"Alec Joler, Ethan Shaftel",5.1
Aleem Hossain,4.2
Alejandro Agresti,6.8
"Alejandro Brugués, Joe Dante",5.5
Alejandro Chomski,3.7
Alejandro Daniel,5.0
Alejandro G. Iñárritu,7.7
Alejandro Sessa,4.6
Alejo Mo-Sun,3.3
Alek Gearhart,4.566666666666666
Alek Keshishian,6.7
Aleks Horvat,6.3
Aleksandar Ivicic,1.6
Aleksandr Buravskiy,4.2
Aleksandr Chernyaev,5.0
Alessandro De Gaetano,3.94
Alessio de Paola,5.1
Aleta Chappelle,4.1
Alethea Jones,5.2
Alex Ballar,3.2
Alex Beh,4.9
"Alex Brewer, Benjamin Brewer",5.4
Alex Cox,5.12
Alex Craig Mann,4.5
Alex D'Lerma,5.7
Alex Di Marco,4.6
Alex E. Goitein,3.5
Alex Enriquez Drummond,5.1
Alex Erkiletian,4.9
Alex Ferrari,5.4
Alex Goldberg,6.8
Alex Goyette,4.8
Alex Graves,5.2
"Alex Greenlee, Todd Greenlee",3.7
"Alex Gregory, Peter Huyck",6.1
Alex Grossman,3.9
Alex Hanno,5.9
"Alex Harz, Tom Kennedy",5.3
"Alex Haughey, Brian Vidal",6.0
Alex Holdridge,6.6
Alex Israel,3.2
Alex Karpovsky,5.466666666666666
Alex Keledjian,3.7
Alex Kendrick,6.6499999999999995
Alex Kurtzman,7.1
Alex Lehmann,7.25
"Alex Lvovsky, Joe Walser",6.4
Alex Magaña,5.55
Alex March,5.85
Alex Meader,4.5
Alex Merkin,4.825
Alex Monty Canawati,5.35
Alex Munoz,5.0
Alex Nam,2.6
Alex Nicol,3.8499999999999996
Alex Nicolaou,3.5
Alex O Eaton,5.4
Alex Orr,5.3
Alex Orwell,4.3
Alex Pacheco,3.6
Alex Petrovitch,3.8
Alex Pettyfer,6.6
Alex Pires,5.7
Alex Proyas,7.6
Alex Pucci,4.9
Alex R. Johnson,6.4
Alex R. Wagner,6.0
Alex Ranarivelo,5.857142857142857
Alex Richanbach,5.2
Alex Ross Perry,6.05
Alex Sebastian,1.8
Alex Segal,6.1
Alex Sichel,6.4
Alex Simmons,6.0
"Alex Smith, Andrew J. Smith",6.0
Alex Steyermark,6.433333333333334
Alex Thompson,6.9
Alex Turner,5.6
Alex Winter,3.3
Alex Wolff,5.6
Alex Wright,4.6499999999999995
Alex Zamm,4.066666666666666
Alexander Babaev,4.6
Alexander Barnett,6.2
Alexander Black,5.9
Alexander Bulkley,5.4
Alexander Cassini,5.8
Alexander Hall,6.504
"Alexander Hall, George Somnes",6.7
"Alexander Hall, Vincente Minnelli",6.2
Alexander Janko,5.2
Alexander Johnston,6.6
Alexander Korda,6.050000000000001
Alexander Mackendrick,7.05
Alexander Murillo,3.6
Alexander Payne,7.18
Alexander Poe,4.6
Alexander Ramati,6.0
Alexander Raye Pimentel,4.6
Alexander Salazar,4.8
Alexander Singer,6.15
Alexander T. Hwang,3.0
Alexander Wraith,3.4
Alexandra Kondracke,6.4
Alexandra Swarens,5.8
"Alexandre Bustillo, Julien Maury",5.0
Alexandre Moors,5.85
Alexandre Rockwell,6.16
"Alexi Pappas, Jeremy Teicher",5.5
Alexis Thurn-Taxis,5.8
Alf Kjellin,5.45
Alfonso Arau,4.8
Alfonso Cuarón,7.300000000000001
Alfonso Gomez-Rejon,6.65
Alfonso Pineda Ulloa,4.0
Alfred E. Green,6.250943396226416
"Alfred E. Green, Albert Zugsmith",5.5
"Alfred E. Green, Jack Pickford",6.75
"Alfred E. Green, Phil Rosen",6.1
Alfred Hitchcock,7.5307692307692315
Alfred J. Goulding,7.4
Alfred L. Werker,6.4399999999999995
"Alfred L. Werker, Anthony Mann",7.2
"Alfred L. Werker, Hamilton Luske",6.9
"Alfred L. Werker, Otto Preminger",6.7
"Alfred L. Werker, Sidney Lanfield",6.6
Alfred Robbins,4.6
Alfred Santell,6.213333333333334
Alfred Sole,5.95
Alfred Zeisler,5.55
Alfredo Ramos,4.8
"Alfredo Ringel, Deborah Ringel",4.1
Alfredo Rodriguez de Villa,5.45
Ali Scher,5.4
Ali Selim,7.1
Ali Zamani,4.05
Alice Nicolini,2.6
Alice Wu,7.15
"Alicia Oberle Farmer, John D. Farmer",5.3
Alien Castle,5.6
Alin Bijan,3.75
Alison Bagnall,5.9
Alison Eastwood,6.2
Alison Swan,5.5
Alison Thompson,4.8
Alistair Banks Griffin,6.1
Alistair Legrand,4.9
Allan A. Buckhantz,4.4
Allan Arkush,4.933333333333334
"Allan Arkush, Joe Dante",6.35
"Allan Arkush, Nicholas Niciphor",4.1
Allan Burns,5.9
Allan Davis,6.1
Allan Dwan,6.337777777777777
"Allan Fiterman, Christian Schoyen",3.8
Allan Holzman,5.1
"Allan Holzman, Robert Short",3.9
Allan Mindel,6.3
Allan Moyle,6.2
Allan Silliphant,3.7
Allan Spiers,5.3
Allen Baron,6.3
Allen C. Gardner,5.9
Allen Coulter,6.8
Allen H. Miner,5.8
"Allen H. Miner, Oscar Rudolph",6.7
Allen Hughes,6.2
Allen Kellogg,3.9499999999999997
Allen Plone,4.1
Allen Reisner,7.15
Allen Wolf,5.5
Allie Dvorin,4.7
Allison Anders,6.733333333333333
"Allison Anders, Alexandre Rockwell",6.8
"Allison Anders, Dean Lent",5.4
Allison Burnett,5.7
Allison Eckert,3.9
"Allison R. Hebble, Zed Starkovich",4.7
Ally Walker,5.4
Alma Har'el,7.3
Alonso Mayo,5.7
Alton Glass,5.35
Alvin Ecarma,6.2
Alvin Ganzer,5.1
"Alvin Ganzer, F. Hugh Herbert",6.0
Alyn Darnay,7.4
Alyson Shelton,5.4
Alyssa R. Bennett,5.2
Amanda Goodwin,6.5
Amanda Gusack,5.300000000000001
Amanda Kramer,3.5
Amanda Marsalis,5.9
Amanda Sharp,6.0
Amara Cash,4.1
